timestamp,fuente,categoria,nombre,marca,precio_min,precio_max,precio,presentacion,ean,sucursales_disponibles,lat,lng
2025-11-21 21:09:13.793854,PreciosClaros,leche descremada,Leche en Polvo Descremada Dia 800 Gr,DÍA,8750.0,8750.0,8750.0,800.0 gr,8480017297044,23,-34.6037,-58.3816
2025-11-21 21:09:13.793860,PreciosClaros,leche descremada,Leche en Polvo Descremada Extra Calcio Svelty 370 Gr,SVELTY,7900.0,8050.0,7900.0,370.0 gr,8445291020047,3,-34.6037,-58.3816
2025-11-21 21:09:16.411666,PreciosClaros,yogur,Yogur Batido Descremado Clasico Vainilla La Serenisima 120 Gr,LA SERENÍSIMA,1049.0,1150.0,1049.0,120.0 gr,7791337007413,28,-34.6037,-58.3816
2025-11-21 21:09:16.411681,PreciosClaros,yogur,Yogur Batido Descremado con Durazno Familia Beaudroit 160 Gr,FAMILIA BEAUDROIT,2850.0,2850.0,2850.0,160.0 gr,7798327950100,2,-34.6037,-58.3816
2025-11-21 21:09:16.411687,PreciosClaros,yogur,Yogur Batido Descremado con Frutilla Familia Beaudroit 160 Gr,FAMILIA BEAUDROIT,2850.0,2900.0,2850.0,160.0 gr,7798327950094,3,-34.6037,-58.3816
2025-11-21 21:09:16.411693,PreciosClaros,yogur,Yogur Batido Descremado con Frutos Familia Beaudroit 160 Gr,FAMILIA BEAUDROIT,2850.0,2900.0,2850.0,160.0 gr,7798327950117,3,-34.6037,-58.3816
2025-11-21 21:09:16.411699,PreciosClaros,yogur,Yogur Batido Descremado con Mango y Maracuya Dahi 190 Gr,DAHI,2950.0,2950.0,2950.0,190.0 gr,7798136870729,1,-34.6037,-58.3816
2025-11-21 21:09:16.411706,PreciosClaros,yogur,Yogur Batido Descremado Natural Familia Beaudroit 160 Gr,FAMILIA BEAUDROIT,2750.0,2750.0,2750.0,160.0 gr,7798327950070,2,-34.6037,-58.3816
2025-11-21 21:09:16.411722,PreciosClaros,yogur,Yogur Batido Descremado Sab. Coco Dahi Pot 170 Grm,DAHI,1800.0,1800.0,1800.0,170.0 grm,7798136870521,1,-34.6037,-58.3816
2025-11-21 21:09:16.411728,PreciosClaros,yogur,Barra de Cereal Yogur Light Flow Cereal 20 Un 24 Gr,FLOW CEREAL,750.0,750.0,750.0,24.0 gr,7790380020172,3,-34.6037,-58.3816
2025-11-21 21:09:16.411734,PreciosClaros,yogur,Barra de Cereales con Yogur Frutos del Bosque Flow 27 Gr,FLOW,750.0,754.0,750.0,27.0 gr,7790380016199,5,-34.6037,-58.3816
