timestamp,categoria,nombre,marca,precio,precio_min,precio_max,presentacion,sucursales
2025-11-21 21:40:43.079765,azucar,Azucar Light Doypack Hileret 250 Gr,HILERET,1545.0,1545.0,1700.0,250.0 gr,27
2025-11-21 21:40:43.079777,azucar,Azucar Light Doypack Hileret 500 Gr,HILERET,2569.0,2569.0,2900.0,500.0 gr,27
2025-11-21 21:40:43.079783,azucar,Azucar Mascabo Frasco Beepure 250 Gr,BEEPURE,4950.0,4950.0,4950.0,250.0 gr,2
2025-11-21 21:40:43.079795,azucar,Alfajores de Fruta con Baño de Azucar Jorgito 6 Un 300 Gr,JORGITO,7450.0,7450.0,7450.0,300.0 gr,1
2025-11-21 21:40:43.079830,azucar,Azucar,CUQUE,590.0,590.0,590.0,500.0 gr,23
2025-11-21 21:40:45.740312,harina 0000,Harina 0000 C/Vit,FAVOR,1430.0,1430.0,1430.0,1.0 kg,23
2025-11-21 21:40:45.740355,harina 0000,Harina Forti 0000,BLANC,1565.0,1565.0,1650.0,1.0 kg,2
2025-11-21 21:40:45.740367,harina 0000,Harina de Trigo 0000 Caserita 1 Kg,CASERITA,1300.0,1300.0,1350.0,1.0 kg,26
2025-11-21 21:40:45.740375,harina 0000,Harina de Trigo 0000 Chacabuco 1 Kg,CHACABUCO,1149.0,1149.0,1149.0,1.0 kg,2
2025-11-21 21:40:45.740381,harina 0000,Harina de Trigo 0000 Dia 1 Kg,DÍA,1100.0,1100.0,1100.0,1.0 kg,23
2025-11-21 21:40:45.740388,harina 0000,Harina de Trigo 0000 Morixe 1 Kg,MORIXE,1149.0,1149.0,1400.0,1.0 kg,28
2025-11-21 21:40:45.740394,harina 0000,Harina de Trigo 0000 Ultra Refinada Pureza 1 Kg,PUREZA,1350.0,1350.0,1500.0,1.0 kg,26
2025-11-21 21:40:48.513133,harina 000,Harina 000 C/Vit,FAVOR,970.0,970.0,970.0,1.0 kg,25
2025-11-21 21:40:48.513147,harina 000,Harina 000 Fortificada con Calcio Cañuelas 1 Kg,CAÑUELAS,1025.0,1025.0,1100.0,1.0 kg,27
2025-11-21 21:40:48.513154,harina 000,Harina 000 Organica Harinisima Molino Campodonico 1 Kg,MOLINO CAMPODÓNICO,2500.0,2500.0,2550.0,1.0 kg,2
2025-11-21 21:40:48.513161,harina 000,Harina 0000 C/Vit,FAVOR,1430.0,1430.0,1430.0,1.0 kg,23
2025-11-21 21:40:48.513179,harina 000,Harina Blancaflor 000 Pqx1kg,Sin marca,1150.0,1150.0,1150.0,None none,1
2025-11-21 21:40:48.513191,harina 000,Harina de Trigo 000 Caserita 1 Kg,CASERITA,900.0,900.0,1150.0,1.0 kg,26
2025-11-21 21:40:48.513204,harina 000,Harina de Trigo 000 Chacabuco 1 Kg,CHACABUCO,895.0,895.0,895.0,1.0 kg,23
2025-11-21 21:40:48.513210,harina 000,Harina de Trigo 000 Dia 1 Kg,DÍA,815.0,815.0,815.0,1.0 kg,23
2025-11-21 21:40:48.513216,harina 000,Harina de Trigo 000 Morixe 1 Kg,MORIXE,948.0,948.0,1000.0,1.0 kg,5
2025-11-21 21:40:48.513222,harina 000,Harina de Trigo 000 Pureza 1 Kg,PUREZA,1115.0,1115.0,1115.0,1.0 kg,23
2025-11-21 21:40:48.513228,harina 000,Harina de Trigo Fortivac 000 Morixe 1 Kg,MORIX,945.0,945.0,945.0,1.0 kg,23
2025-11-21 21:40:48.513234,harina 000,Harina de Trigo 0000 Caserita 1 Kg,CASERITA,1300.0,1300.0,1350.0,1.0 kg,26
2025-11-21 21:40:48.513240,harina 000,Harina de Trigo 0000 Chacabuco 1 Kg,CHACABUCO,1149.0,1149.0,1149.0,1.0 kg,2
2025-11-21 21:40:48.513246,harina 000,Harina de Trigo 0000 Dia 1 Kg,DÍA,1100.0,1100.0,1100.0,1.0 kg,23
2025-11-21 21:40:48.513257,harina 000,Harina de Trigo 0000 Morixe 1 Kg,MORIXE,1149.0,1149.0,1400.0,1.0 kg,28
2025-11-21 21:40:48.513263,harina 000,Harina de Trigo 0000 Ultra Refinada Pureza 1 Kg,PUREZA,1350.0,1350.0,1500.0,1.0 kg,26
2025-11-21 21:40:48.513269,harina 000,Harina Forti 0000,BLANC,1565.0,1565.0,1650.0,1.0 kg,2
2025-11-21 21:40:52.518130,sal gruesa,Sal Gruesa Colosal 1 Kg,COLOSAL,1123.0,1123.0,1123.0,1.0 kg,2
2025-11-21 21:40:52.518144,sal gruesa,Sal Gruesa Dia 1 Kg,DÍA,1595.0,1595.0,1595.0,1.0 kg,23
2025-11-21 21:40:52.518151,sal gruesa,Sal Gruesa Dos Anclas Paquete X1kg,DOS ANCLAS,2374.0,2374.0,2500.0,None none,5
